"Age","Athlete","Gold","Date","Date (String)","Country"
"25","Anastasiya Yermakova","true","2008-08-24","2008-08-24","Russia"
"21","Alison Bartosik","false","2004-08-29","2004-08-29","United States"
"21","Anastasiya Davydova","true","2004-08-29","2004-08-29","Russia"
"31","Anna Kozlova","false","2004-08-29","2004-08-29","United States"
"29","Miya Tachibana","false","2004-08-29","2004-08-29","Japan"
"27","Miho Takeda","false","2004-08-29","2004-08-29","Japan"
"21","Anastasiya Yermakova","true","2004-08-29","2004-08-29","Russia"
"21","Olga Brusnikina","true","2000-10-01","2000-10-01","Russia"
"25","Mariya Kiselyova","true","2000-10-01","2000-10-01","Russia"
"25","Miya Tachibana","false","2000-10-01","2000-10-01","Japan"
"24","Miho Takeda","false","2000-10-01","2000-10-01","Japan"
"23","Becky Adlington","false","2012-08-12","2012-08-12","Great Britain"
"23","Bronte Barratt","false","2012-08-12","2012-08-12","Australia"
"19","Elizabeth Beisel","false","2012-08-12","2012-08-12","United States"
"21","Mireia Belmonte","false","2012-08-12","2012-08-12","Spain"
"24","Ricky Berens","true","2012-08-12","2012-08-12","United States"
"26","Aleksandra Gerasimenya","false","2012-08-12","2012-08-12","Belarus"
"30","Brendan Hansen","true","2012-08-12","2012-08-12","United States"
"25","Jessica Hardy","true","2012-08-12","2012-08-12","United States"
"20","Chad le Clos","true","2012-08-12","2012-08-12","South Africa"
"24","Clément Lefert","true","2012-08-12","2012-08-12","France"
"26","Amaury Leveaux","true","2012-08-12","2012-08-12","France"
"21","James Magnussen","false","2012-08-12","2012-08-12","Australia"
"28","Takeshi Matsuda","false","2012-08-12","2012-08-12","Japan"
"28","Oussama Mellouli","true","2012-08-12","2012-08-12","Tunisia"
"22","Park Tae-Hwan","false","2012-08-12","2012-08-12","South Korea"
"26","Christian Sprenger","false","2012-08-12","2012-08-12","Australia"
"24","Jeremy Stravius","true","2012-08-12","2012-08-12","France"
"27","Aya Terakawa","false","2012-08-12","2012-08-12","Japan"
"26","Nick Thoman","true","2012-08-12","2012-08-12","United States"
"33","Marleen Veldhuis","false","2012-08-12","2012-08-12","Netherlands"
"16","Ye Shiwen","true","2012-08-12","2012-08-12","China"
"19","Becky Adlington","true","2008-08-24","2008-08-24","Great Britain"
"22","Leith Brodie","false","2008-08-24","2008-08-24","Australia"
"16","Cate Campbell","false","2008-08-24","2008-08-24","Australia"
"21","César Cielo Filho","true","2008-08-24","2008-08-24","Brazil"
"26","Hugues Duboscq","false","2008-08-24","2008-08-24","France"
"23","Felicity Galvez","true","2008-08-24","2008-08-24","Australia"
"28","Grant Hackett","false","2008-08-24","2008-08-24","Australia"
"22","Kara Lynn Joyce","false","2008-08-24","2008-08-24","United States"
"22","Amaury Leveaux","false","2008-08-24","2008-08-24","France"
"22","Christine Magnuson","false","2008-08-24","2008-08-24","United States"
"24","Patrick Murphy","false","2008-08-24","2008-08-24","Australia"
"18","Park Tae-Hwan","true","2008-08-24","2008-08-24","South Korea"
"25","Shayne Reese","true","2008-08-24","2008-08-24","Australia"
"24","Brenton Rickard","false","2008-08-24","2008-08-24","Australia"
"21","Mel Schlanger","true","2008-08-24","2008-08-24","Australia"
"20","Julia Smit","false","2008-08-24","2008-08-24","United States"
"24","Britta Steffen","true","2008-08-24","2008-08-24","Germany"
"24","Hayden Stoeckel","false","2008-08-24","2008-08-24","Australia"
"22","Matt Targett","false","2008-08-24","2008-08-24","Australia"
"24","Peter Vanderkaay","true","2008-08-24","2008-08-24","United States"
"24","Arkady Vyachanin","false","2008-08-24","2008-08-24","Russia"
"23","Garrett Weber-Gale","true","2008-08-24","2008-08-24","United States"
"27","Lindsay Benko","true","2004-08-29","2004-08-29","United States"
"29","Gary Hall Jr.","true","2004-08-29","2004-08-29","United States"
"26","Brooke Hanson","true","2004-08-29","2004-08-29","Australia"
"18","Kara Lynn Joyce","false","2004-08-29","2004-08-29","United States"
"22","Klete Keller","true","2004-08-29","2004-08-29","United States"
"22","Yana Klochkova","true","2004-08-29","2004-08-29","Ukraine"
"27","Rachel Komisarz","true","2004-08-29","2004-08-29","United States"
"19","Libby Lenton-Trickett","true","2004-08-29","2004-08-29","Australia"
"28","Jason Lezak","true","2004-08-29","2004-08-29","United States"
"20","Ryan Lochte","true","2004-08-29","2004-08-29","United States"
"18","Alice Mills","true","2004-08-29","2004-08-29","Australia"
"19","Tomomi Morita","false","2004-08-29","2004-08-29","Japan"
"22","Markus Rogan","false","2004-08-29","2004-08-29","Austria"
"31","Jenny Thompson","false","2004-08-29","2004-08-29","United States"
"26","Franziska van Almsick","false","2004-08-29","2004-08-29","Germany"
